Direction I ,Direction J ,Num other trails ,Other trails
         11 ,          6 ,               2 ,[[11 8] [12 7]]
          9 ,         34 ,               1 ,[[11 34]]
         39 ,         38 ,               1 ,[[38 37]]
         12 ,         40 ,               1 ,[[13 39]]
         21 ,         27 ,               1 ,[[20 28]]
         27 ,          7 ,               1 ,[[29 7]]
          1 ,         50 ,               1 ,[[0 51]]
         10 ,         20 ,               1 ,[[12 20]]
         10 ,          3 ,               1 ,[[12 3]]
         41 ,         20 ,               1 ,[[42 19]]
         12 ,         37 ,               1 ,[[11 36]]
         40 ,         37 ,               1 ,[[41 38]]
         26 ,          5 ,               1 ,[[25 6]]
         20 ,         27 ,               1 ,[[22 27]]
         36 ,          6 ,               2 ,[[36 8] [35 7]]
         12 ,         41 ,               1 ,[[13 40]]
          8 ,         34 ,               1 ,[[9 35]]
         26 ,          4 ,               1 ,[[25 5]]
         10 ,          3 ,               1 ,[[12 3]]
         13 ,         38 ,               1 ,[[13 40]]
         11 ,         41 ,               1 ,[[13 41]]
         20 ,         26 ,               1 ,[[19 27]]
         41 ,         21 ,               2 ,[[40 20] [42 20]]
         12 ,         40 ,               1 ,[[13 39]]
         45 ,         37 ,               2 ,[[44 36] [46 36]]
          8 ,         20 ,               1 ,[[7 21]]
         19 ,         26 ,               1 ,[[19 28]]
         35 ,          7 ,               1 ,[[36 6]]
         34 ,         43 ,               1 ,[[35 44]]
         43 ,         36 ,               1 ,[[43 38]]
         13 ,         38 ,               1 ,[[13 40]]
         12 ,         41 ,               1 ,[[13 40]]
          2 ,         46 ,               1 ,[[1 47]]
         20 ,          6 ,               2 ,[[20 8] [19 7]]
         26 ,         20 ,               1 ,[[27 21]]
          2 ,         45 ,               1 ,[[4 45]]
         33 ,         43 ,               1 ,[[35 43]]
         28 ,         27 ,               1 ,[[27 26]]
         46 ,         38 ,               1 ,[[47 37]]
         11 ,         41 ,               1 ,[[13 41]]
         33 ,         48 ,               1 ,[[34 47]]
         12 ,         37 ,               1 ,[[11 36]]
         36 ,         20 ,               1 ,[[37 19]]
         19 ,          4 ,               1 ,[[20 5]]
         35 ,         40 ,               1 ,[[34 39]]
         26 ,         26 ,               1 ,[[26 28]]
         10 ,         38 ,               1 ,[[10 40]]
         35 ,         41 ,               1 ,[[37 41]]
          2 ,         22 ,               1 ,[[1 23]]
         22 ,         12 ,               1 ,[[21 13]]
         10 ,         47 ,               1 ,[[9 48]]
         43 ,         35 ,               1 ,[[42 36]]
         34 ,         17 ,               1 ,[[36 17]]
         36 ,          6 ,               2 ,[[36 8] [35 7]]
         23 ,          8 ,               2 ,[[23 10] [24 9]]
         47 ,         15 ,               1 ,[[46 14]]
         29 ,         40 ,               1 ,[[30 41]]
         33 ,         15 ,               1 ,[[33 17]]
         36 ,         40 ,               1 ,[[38 40]]
         25 ,         25 ,               1 ,[[24 26]]
         22 ,         19 ,               1 ,[[22 21]]
         34 ,          8 ,               2 ,[[34 10] [33 9]]
          2 ,         19 ,               1 ,[[3 20]]
         10 ,         46 ,               1 ,[[11 47]]
         33 ,         14 ,               1 ,[[34 15]]
         12 ,         40 ,               1 ,[[13 39]]
         25 ,         24 ,               2 ,[[24 25] [26 25]]
         30 ,         42 ,               1 ,[[31 41]]
         51 ,         13 ,               1 ,[[51 15]]
         36 ,         51 ,               1 ,[[37 50]]
         36 ,         45 ,               1 ,[[38 45]]
         35 ,          7 ,               1 ,[[36 6]]
         23 ,         17 ,               1 ,[[23 19]]
         40 ,         39 ,               1 ,[[41 40]]
          9 ,         49 ,               1 ,[[8 50]]
          4 ,         27 ,               2 ,[[4 29] [5 28]]
         36 ,         45 ,               1 ,[[38 45]]
         24 ,         24 ,               1 ,[[26 24]]
         22 ,         49 ,               1 ,[[24 49]]
         12 ,         41 ,               1 ,[[13 40]]
         35 ,         31 ,               1 ,[[36 32]]
          4 ,         49 ,               1 ,[[5 50]]
         37 ,         43 ,               1 ,[[38 42]]
         47 ,         22 ,               1 ,[[46 21]]
         28 ,         10 ,               1 ,[[29 11]]
         38 ,         13 ,               1 ,[[39 12]]
         35 ,         51 ,               1 ,[[37 51]]
         40 ,         37 ,               1 ,[[41 38]]
         11 ,         30 ,               1 ,[[12 29]]
         24 ,         20 ,               1 ,[[25 19]]
         36 ,         45 ,               1 ,[[38 45]]
         11 ,         41 ,               1 ,[[13 41]]
          3 ,         49 ,               1 ,[[5 49]]
         36 ,         40 ,               1 ,[[38 40]]
         43 ,         36 ,               1 ,[[43 38]]
         23 ,         34 ,               1 ,[[23 36]]
          9 ,         49 ,               1 ,[[8 50]]
         27 ,         10 ,               1 ,[[29 10]]
         37 ,         22 ,               1 ,[[36 23]]
         47 ,         43 ,               1 ,[[48 42]]
         24 ,         23 ,               1 ,[[23 24]]
          1 ,         50 ,               1 ,[[0 51]]
         37 ,         13 ,               1 ,[[39 13]]
         12 ,         29 ,               1 ,[[11 30]]
         37 ,         21 ,               1 ,[[38 22]]
         43 ,         35 ,               1 ,[[42 36]]
         38 ,         44 ,               1 ,[[40 44]]
         22 ,         34 ,               1 ,[[21 33]]
         40 ,         23 ,               1 ,[[41 22]]
         34 ,         27 ,               1 ,[[33 28]]
          6 ,         12 ,               1 ,[[7 11]]
         33 ,         38 ,               1 ,[[32 39]]
         13 ,         38 ,               1 ,[[13 40]]
         47 ,         44 ,               1 ,[[48 43]]
          3 ,         22 ,               1 ,[[5 22]]
         28 ,         31 ,               2 ,[[27 30] [29 30]]
         12 ,         27 ,               1 ,[[11 28]]
         31 ,         27 ,               1 ,[[33 27]]
          8 ,         11 ,               1 ,[[10 11]]
         26 ,          0 ,               1 ,[[28 0]]
         47 ,         45 ,               1 ,[[46 44]]
          3 ,         22 ,               1 ,[[5 22]]
          5 ,         50 ,               1 ,[[6 51]]
         34 ,         30 ,               1 ,[[33 29]]
         32 ,         38 ,               1 ,[[34 38]]
          7 ,         47 ,               1 ,[[9 47]]
         38 ,         27 ,               1 ,[[38 29]]
         23 ,          0 ,               1 ,[[24 1]]
          3 ,         22 ,               1 ,[[5 22]]
         39 ,         28 ,               1 ,[[40 27]]
         27 ,         31 ,               1 ,[[29 31]]
         41 ,         43 ,               1 ,[[42 42]]
          6 ,         33 ,               1 ,[[8 33]]
         33 ,         30 ,               1 ,[[35 30]]
         26 ,          5 ,               1 ,[[25 6]]
          7 ,         48 ,               1 ,[[6 47]]
         23 ,         31 ,               1 ,[[22 30]]
         40 ,         29 ,               1 ,[[41 28]]
         31 ,         39 ,               1 ,[[30 38]]
         11 ,         27 ,               1 ,[[13 27]]
          3 ,         31 ,               1 ,[[2 30]]
         26 ,          4 ,               1 ,[[25 5]]
          0 ,         33 ,               1 ,[[0 35]]
         39 ,         44 ,               1 ,[[38 45]]
         27 ,         34 ,               1 ,[[26 33]]
         47 ,         24 ,               1 ,[[46 23]]
         37 ,          3 ,               1 ,[[39 3]]
          3 ,         32 ,               1 ,[[2 31]]
         33 ,         31 ,               1 ,[[32 30]]
          0 ,         31 ,               1 ,[[1 32]]
         10 ,          6 ,               1 ,[[11 5]]
         27 ,         21 ,               1 ,[[26 20]]
         11 ,          6 ,               2 ,[[11 8] [12 7]]
          7 ,         10 ,               1 ,[[7 12]]
         38 ,         44 ,               1 ,[[40 44]]
         11 ,         31 ,               1 ,[[13 31]]
         36 ,         18 ,               1 ,[[37 17]]
         24 ,         28 ,               1 ,[[25 29]]
         47 ,         27 ,               1 ,[[48 26]]
         29 ,         33 ,               1 ,[[29 35]]
         23 ,         27 ,               1 ,[[25 27]]
         40 ,         47 ,               1 ,[[39 46]]
         36 ,          4 ,               1 ,[[35 3]]
         27 ,         23 ,               1 ,[[26 22]]
         30 ,         29 ,               1 ,[[32 29]]
          8 ,         11 ,               1 ,[[10 11]]
          9 ,         34 ,               1 ,[[11 34]]
         12 ,         11 ,               1 ,[[11 12]]
         47 ,         32 ,               1 ,[[46 31]]
         33 ,         19 ,               1 ,[[32 18]]
         39 ,         50 ,               1 ,[[40 49]]
         35 ,          4 ,               1 ,[[37 4]]
         37 ,         18 ,               1 ,[[37 20]]
         28 ,         31 ,               1 ,[[29 32]]
         29 ,         40 ,               1 ,[[30 41]]
         45 ,         37 ,               2 ,[[44 36] [46 36]]
         10 ,         26 ,               1 ,[[12 26]]
         37 ,         30 ,               1 ,[[36 31]]
         39 ,         16 ,               1 ,[[40 15]]
         25 ,         39 ,               1 ,[[26 40]]
         15 ,         31 ,               1 ,[[16 32]]
         37 ,         17 ,               1 ,[[36 18]]
         34 ,         30 ,               1 ,[[35 31]]
         40 ,          7 ,               1 ,[[42 7]]
         23 ,         40 ,               1 ,[[23 42]]
         31 ,         39 ,               1 ,[[30 38]]
         26 ,         51 ,               1 ,[[28 51]]
          6 ,         33 ,               1 ,[[8 33]]
         27 ,         31 ,               1 ,[[29 31]]
         34 ,          5 ,               1 ,[[33 4]]
         39 ,         17 ,               1 ,[[40 16]]
         33 ,         30 ,               1 ,[[35 30]]
         25 ,         39 ,               1 ,[[26 40]]
         33 ,         19 ,               1 ,[[32 18]]
         12 ,         46 ,               1 ,[[13 45]]
         35 ,          7 ,               1 ,[[36 6]]
         46 ,         38 ,               1 ,[[47 37]]
         27 ,         34 ,               1 ,[[26 33]]
         26 ,          4 ,               1 ,[[25 5]]
         38 ,          6 ,               1 ,[[38 8]]
         38 ,         18 ,               3 ,[[38 20] [37 19] [39 19]]
         33 ,         31 ,               1 ,[[32 30]]
         36 ,         25 ,               1 ,[[35 24]]
         29 ,          9 ,               2 ,[[28 8] [30 8]]
         22 ,         49 ,               1 ,[[24 49]]
         24 ,         13 ,               2 ,[[23 12] [25 12]]
         24 ,         37 ,               1 ,[[26 37]]
         40 ,         12 ,               1 ,[[42 12]]
         10 ,         43 ,               1 ,[[11 44]]
         48 ,         45 ,               1 ,[[49 44]]
         27 ,          3 ,               1 ,[[26 2]]
         31 ,         41 ,               2 ,[[31 43] [30 42]]
         37 ,         29 ,               1 ,[[39 29]]
         24 ,          0 ,               2 ,[[24 2] [25 1]]
         24 ,         14 ,               1 ,[[23 13]]
         25 ,          5 ,               2 ,[[25 7] [24 6]]
         29 ,         33 ,               1 ,[[29 35]]
         37 ,         17 ,               1 ,[[36 18]]
         25 ,          8 ,               1 ,[[25 10]]
         45 ,         15 ,               1 ,[[44 16]]
         30 ,         29 ,               1 ,[[32 29]]
         40 ,         29 ,               1 ,[[41 28]]
         38 ,         13 ,               1 ,[[39 12]]
         37 ,         29 ,               1 ,[[39 29]]
         22 ,         29 ,               1 ,[[21 30]]
         24 ,         24 ,               1 ,[[26 24]]
         27 ,         35 ,               1 ,[[27 37]]
         11 ,         41 ,               1 ,[[10 42]]
         37 ,         13 ,               1 ,[[39 13]]
         34 ,         45 ,               1 ,[[34 47]]
         47 ,         45 ,               2 ,[[47 47] [46 46]]
         38 ,         37 ,               1 ,[[39 38]]
         28 ,         49 ,               1 ,[[28 51]]
         33 ,         45 ,               1 ,[[35 45]]
         24 ,         23 ,               1 ,[[23 24]]
         41 ,         27 ,               1 ,[[42 28]]
         24 ,         28 ,               1 ,[[25 29]]
         25 ,          5 ,               2 ,[[25 7] [24 6]]
         51 ,         13 ,               1 ,[[51 15]]
         32 ,         45 ,               1 ,[[31 46]]
         13 ,          0 ,               2 ,[[13 2] [12 1]]
         29 ,         48 ,               2 ,[[29 50] [30 49]]
         36 ,         40 ,               1 ,[[38 40]]
         30 ,         42 ,               1 ,[[31 41]]
         22 ,         28 ,               1 ,[[21 29]]
         42 ,         29 ,               1 ,[[43 28]]
         32 ,         44 ,               1 ,[[31 45]]
         42 ,         15 ,               2 ,[[42 17] [43 16]]
         19 ,          4 ,               1 ,[[20 5]]
         27 ,         47 ,               1 ,[[27 49]]
         48 ,          2 ,               1 ,[[50 2]]
         37 ,         47 ,               1 ,[[38 48]]
         21 ,         27 ,               1 ,[[20 28]]
         43 ,         35 ,               1 ,[[42 36]]
         23 ,         27 ,               1 ,[[25 27]]
         42 ,         14 ,               2 ,[[41 15] [43 15]]
         41 ,         51 ,               1 ,[[42 50]]
         20 ,          4 ,               1 ,[[21 5]]
         29 ,         15 ,               1 ,[[28 16]]
         31 ,         51 ,               1 ,[[33 51]]
         23 ,         34 ,               1 ,[[25 34]]
         42 ,         13 ,               1 ,[[43 14]]
         34 ,          5 ,               1 ,[[33 4]]
         20 ,         27 ,               1 ,[[22 27]]
         11 ,          9 ,               1 ,[[13 9]]
         46 ,         38 ,               1 ,[[47 37]]
         47 ,          7 ,               1 ,[[48 6]]
         36 ,          6 ,               2 ,[[36 8] [35 7]]
         10 ,          8 ,               1 ,[[9 9]]
         22 ,         34 ,               1 ,[[21 33]]
         41 ,         14 ,               1 ,[[40 13]]
         28 ,         20 ,               1 ,[[30 20]]
         35 ,          7 ,               1 ,[[36 6]]
         26 ,          3 ,               1 ,[[25 2]]
         11 ,          6 ,               2 ,[[11 8] [12 7]]
         20 ,         26 ,               1 ,[[19 27]]
         39 ,          3 ,               1 ,[[40 4]]
         16 ,         13 ,               1 ,[[16 15]]
         23 ,         50 ,               1 ,[[22 51]]
         49 ,         31 ,               1 ,[[50 30]]
         12 ,         40 ,               1 ,[[13 39]]
         13 ,         14 ,               1 ,[[14 15]]
         33 ,          2 ,               1 ,[[34 3]]
         12 ,         41 ,               1 ,[[13 40]]
         41 ,          2 ,               1 ,[[40 3]]
         29 ,         19 ,               1 ,[[30 18]]
         28 ,          9 ,               1 ,[[27 8]]
         24 ,          5 ,               1 ,[[23 6]]
         41 ,         34 ,               1 ,[[41 36]]
         24 ,         34 ,               1 ,[[23 35]]
         35 ,          7 ,               1 ,[[36 6]]
         16 ,         13 ,               1 ,[[16 15]]
         25 ,         30 ,               1 ,[[26 29]]
         28 ,         21 ,               1 ,[[30 21]]
         48 ,         31 ,               1 ,[[50 31]]
         23 ,         34 ,               1 ,[[25 34]]
         37 ,         17 ,               1 ,[[36 18]]
         39 ,         28 ,               1 ,[[39 30]]
         11 ,         41 ,               1 ,[[13 41]]
         23 ,          5 ,               1 ,[[22 6]]
         28 ,         22 ,               1 ,[[27 21]]
         25 ,         31 ,               1 ,[[26 30]]
         25 ,          8 ,               1 ,[[25 10]]
         22 ,         34 ,               1 ,[[21 33]]
         27 ,         23 ,               1 ,[[26 22]]
         48 ,         40 ,               1 ,[[50 40]]
         11 ,         20 ,               1 ,[[12 19]]
         41 ,         32 ,               1 ,[[42 33]]
         48 ,         31 ,               1 ,[[50 31]]
         13 ,         38 ,               1 ,[[13 40]]
         38 ,         21 ,               1 ,[[37 20]]
         33 ,         31 ,               1 ,[[32 30]]
         23 ,         42 ,               1 ,[[25 42]]
         29 ,         44 ,               1 ,[[30 45]]
         24 ,          5 ,               1 ,[[23 6]]
         46 ,         22 ,               1 ,[[46 24]]
         29 ,          9 ,               2 ,[[28 8] [30 8]]
         23 ,         43 ,               1 ,[[22 42]]
         48 ,         41 ,               1 ,[[47 40]]
         10 ,         20 ,               1 ,[[12 20]]
         38 ,         22 ,               1 ,[[37 21]]
         30 ,         29 ,               1 ,[[32 29]]
         40 ,         29 ,               1 ,[[41 28]]
         23 ,         43 ,               1 ,[[22 42]]
         40 ,         47 ,               1 ,[[39 46]]
         49 ,         34 ,               1 ,[[48 35]]
         24 ,         43 ,               1 ,[[25 44]]
         20 ,          4 ,               1 ,[[21 5]]
         40 ,         23 ,               1 ,[[41 22]]
         10 ,          3 ,               1 ,[[12 3]]
         39 ,         50 ,               1 ,[[40 49]]
         30 ,         29 ,               1 ,[[32 29]]
